date,outbound_docs,outbound_orders,outbound_qty,outbound_gross_kg,outbound_cbm,outbound_load_units,outbound_picks,outbound_full_picks,outbound_partial_picks,packing_lines,packing_orders,packing_pallets,packing_gross_kg,packing_net_kg,packing_volume_dm3,inbound_docs,inbound_avizo,inbound_articles,inbound_lines,inbound_qty,inbound_gross_kg,inbound_cbm,inbound_consumables_gross_kg,inbound_equipment_gross_kg,inbound_other_gross_kg,inbound_customs_gross_kg,inbound_unknown_gross_kg,handling_in_qty,handling_out_qty,wrapping_qty,putaway_qty,net_flow_gross_kg,net_flow_cbm
2022-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,35.0,157.0,4760.0,152461.56,190.84799999999998,269279.52,0.0,0.0,0.0,35643.6,,,,,152461.56,190.84799999999998
2022-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,89.0,773.0,20432.0,731202.71,918.5029999999999,1334504.76,0.0,0.0,0.0,127900.66,,,,,731202.71,918.5029999999999
2022-02-21,733.0,733.0,66798.0,647020.65,835.781,1405.0,2650.0,773.0,1877.0,3613.0,712.0,1.0,1578528.29,0.0,3661208.25,118.0,118.0,333.0,1010.0,60534.0,524307.43,606.784,866482.96,10414.28,0.0,0.0,171717.62,,,,,-122713.21999999997,-228.99699999999996
2022-02-22,702.0,702.0,92188.0,539541.47,656.301,1308.0,2192.0,668.0,1524.0,2561.0,697.0,1.0,907164.08,0.0,1848710.0,148.0,147.0,311.0,824.0,56175.0,374434.27,400.894,623404.34,16182.46,0.0,0.0,109281.74,,,,,-165107.19999999995,-255.40700000000004
2022-02-23,709.0,709.0,75999.0,1020073.78,1165.742,1787.0,2809.0,1194.0,1615.0,3661.0,726.0,1.0,1586256.93,0.0,3397163.0,108.0,108.0,247.0,1394.0,44728.0,1063438.26,1315.9569999999999,1871680.04,7566.28,0.0,0.0,247630.2,,,,,43364.47999999998,150.21499999999992
2022-02-24,582.0,582.0,54401.0,654944.14,838.801,1314.0,2127.0,754.0,1373.0,2241.0,577.0,1.0,882201.28,0.0,1825729.75,113.0,113.0,302.0,717.0,33312.0,201033.96,213.116,317153.26,24945.74,63.72,0.0,59905.2,,,,,-453910.18000000005,-625.6850000000001
2022-02-25,778.0,778.0,102351.0,1015388.9,1265.734,1938.0,3600.0,1271.0,2329.0,3207.0,763.0,1.0,1245868.18,0.0,2620231.0,106.0,106.0,407.0,1306.0,410893.0,815579.92,942.893,1393403.04,42650.4,0.0,0.0,195106.4,,,,,-199808.97999999998,-322.8409999999999
2022-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,67.0,324.0,8815.0,305275.23,380.962,587707.94,0.0,0.0,0.0,22842.52,,,,,305275.23,380.962
2022-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,89.0,610.0,19595.0,560567.25,705.159,1027340.26,0.0,0.0,0.0,93794.24,,,,,560567.25,705.159
2022-02-28,714.0,714.0,72288.0,820183.42,994.255,1695.0,2708.0,1121.0,1587.0,2761.0,710.0,1.0,1032703.16,0.0,2234715.0,109.0,109.0,267.0,582.0,62074.0,234546.01,215.804,354551.48,11040.16,2.08,0.0,103498.3,,,,,-585637.41,-778.451
2022-03-01,745.0,745.0,63349.0,829940.95,1040.927,1599.0,2603.0,982.0,1621.0,2812.0,716.0,1.0,1049899.46,0.0,2322363.0,141.0,140.0,261.0,1343.0,49052.0,943229.42,1168.233,1639580.6,16212.72,0.0,0.0,230665.52,,,,,113288.47000000009,127.30600000000004
2022-03-02,644.0,644.0,65749.0,929982.35,1161.449,1611.0,2824.0,1046.0,1778.0,2843.0,632.0,1.0,1140078.1,0.0,2376649.0,97.0,97.0,236.0,1045.0,30377.0,700914.06,835.634,1215213.82,13356.08,0.0,0.0,173258.22,,,,,-229068.28999999992,-325.81500000000005
2022-03-03,558.0,558.0,47039.0,702465.5,932.891,1247.0,2035.0,757.0,1278.0,2157.0,543.0,1.0,946389.8200000001,0.0,2093772.0,95.0,95.0,312.0,1010.0,44276.0,591900.49,709.857,984510.16,13577.86,47.52,0.0,185665.44,,,,,-110565.01000000001,-223.034
2022-03-04,863.0,863.0,87494.0,918586.61,1145.081,1911.0,3128.0,1182.0,1946.0,3569.0,863.0,1.0,1314294.46,0.0,2826680.0,108.0,108.0,378.0,868.0,225367.0,410393.89,467.77299999999997,627224.54,46101.34,0.0,0.0,147461.9,,,,,-508192.72,-677.308
2022-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,34.0,205.0,6578.0,206254.62,254.346,393099.88,0.0,0.0,0.0,19409.36,,,,,206254.62,254.346
