date,packing_pallets,packing_gross_kg,outbound_gross_kg,inbound_gross_kg,handling_in_qty,handling_out_qty,inbound_docs,inbound_lines,outbound_docs,outbound_orders,wrapping_qty,net_flow_gross_kg,gross_stock_proxy_kg
2026-05-05,1157.6283107445124,827173.6535111071,579457.5326595115,404908.91355879273,4508.622596583287,11031.508013463015,,,,,,-174548.61910071882,4572485.135589373
2026-05-06,1106.4698401536139,823532.8686541392,563019.6453813625,398924.30107204395,4439.311063818158,10849.543191047951,,,,,,-164095.34430931858,4408389.7912800545
2026-05-07,1118.4835415604118,758873.9284275072,575414.599814632,437403.66056783753,4832.364339129544,11121.364387044174,,,,,,-138010.93924679444,4270378.85203326
2026-05-08,1157.0799643813998,894634.6914797795,679195.8772605375,335554.73048784694,3968.764342960527,11793.665791868598,,,,,,-343641.1467726905,3926737.70526057
2026-05-09,0.0,0.0,0.0,50072.99467762195,2302.2788050330287,3013.0152158714545,,,,,,50072.99467762195,3976810.699938192
2026-05-10,0.0,0.0,0.0,375465.01033274276,3765.345280659406,3528.870360462823,,,,,,375465.01033274276,4352275.710270935
2026-05-11,1075.6034982771944,850868.9655755009,608334.6734094039,436424.49574349285,4415.175122479284,11509.907369920722,,,,,,-171910.17766591103,4180365.532605024
2026-05-12,1129.5493579282472,837347.5291276539,579694.0546380905,421848.9715457358,4512.65116776767,11215.472496674554,,,,,,-157845.08309235476,4022520.449512669
2026-05-13,1088.4356185772074,832626.023607191,563084.8389152667,410428.8707014457,4408.498503308115,11087.056021241857,,,,,,-152655.968213821,3869864.481298848
2026-05-14,1093.9904837781442,767975.2399746673,573613.8669385578,448074.09327911405,4939.692253428193,11547.736946842791,,,,,,-125539.77365944377,3744324.7076394046
2026-05-15,1151.8789305292037,916871.2387723576,688893.2132238641,340895.51300513407,4110.780876931913,12036.074698684597,,,,,,-347997.70021873,3396327.007420675
2026-05-16,0.0,0.0,0.0,58185.54914024653,2297.771510009276,2767.5047945038473,,,,,,58185.54914024653,3454512.5565609215
2026-05-17,0.0,0.0,0.0,379603.6694251823,3784.701025385658,3584.309017233674,,,,,,379603.6694251823,3834116.2259861035
2026-05-18,1060.4261964311056,863862.1307400883,613309.8900887606,438637.0661682113,4434.447102849473,11658.205450961977,,,,,,-174672.82392054936,3659443.4020655546
2026-05-19,1110.0343982346205,852152.6966713659,585514.7255976008,420003.52675480535,4521.752213451049,11330.294120971761,,,,,,-165511.19884279545,3493932.203222759
2026-05-20,1073.5581040981474,848319.0404441474,569548.4633479653,409124.7743032386,4385.546910741484,11261.602160275032,,,,,,-160423.68904472666,3333508.514178032
2026-05-21,1077.1941930808102,785517.0022111201,580292.0125346024,444804.3404705192,4920.271312209019,11925.089295290529,,,,,,-135487.67206408322,3198020.8421139484
2026-05-22,1146.5341058262281,938481.7631382765,697379.6472210096,336202.78488074016,4079.640409439817,12267.193546445314,,,,,,-361176.86234026944,2836843.979773679
2026-05-23,0.0,0.0,0.0,51428.85971640511,2260.6663235218093,2614.4404792043388,,,,,,51428.85971640511,2888272.839490084
2026-05-24,0.0,0.0,0.0,372266.2316908839,3744.149363146158,3624.051043067358,,,,,,372266.2316908839,3260539.0711809676
2026-05-25,1050.3990786719403,881815.6312718246,621958.9131098894,430150.4250398399,4395.942961311864,11782.951402956403,,,,,,-191808.4880700495,3068730.5831109183
2026-05-26,1093.538874354777,872112.9284106316,595411.8637204133,409373.5897549458,4479.242664384072,11403.223270665754,,,,,,-186038.27396546752,2882692.3091454506
2026-05-27,1061.425824393672,869074.3053842294,580675.1745908186,396491.59152976196,4332.125858329354,11343.136538173407,,,,,,-184183.58306105662,2698508.7260843944
2026-05-28,1059.8734008522288,809248.6484443862,592616.434957505,429839.1455756136,4884.965672070573,12174.864553235151,,,,,,-162777.28938189137,2535731.436702503
2026-05-29,1133.817581988295,964964.0080732218,709261.828180361,320919.0259528321,4052.774814957967,12451.127010613884,,,,,,-388342.8022275289,2147388.634474974
2026-05-30,0.0,0.0,0.0,39401.087248170894,2210.728783457545,2545.4280213655693,,,,,,39401.087248170894,2186789.721723145
2026-05-31,0.0,0.0,0.0,319070.4048497619,3233.1632980400896,3158.584897972597,,,,,,319070.4048497619,2505860.126572907
2026-06-01,855.5801841424415,749468.6483553672,519351.1099790591,374120.9652795838,3891.669010659678,10599.697276818464,,,,,,-145230.14469947526,2360629.981873432
2026-06-02,1016.7684924397516,844961.9985063054,567078.634217408,411253.1576174996,4388.86077962271,11127.043691762492,,,,,,-155825.47659990843,2204804.5052735237
2026-06-03,1007.0886064363839,848995.5823387704,556834.4759920798,389290.95761872665,4225.636461452886,11183.74082767189,,,,,,-167543.51837335317,2037260.9869001703
2026-06-04,988.5530147400225,780746.0044921938,564246.0285057593,428037.70995147264,4818.9253555610185,12066.351710991856,,,,,,-136208.31855428667,1901052.6683458835
2026-06-05,1086.023905205497,944606.6533168914,688403.5223684553,336442.36357531475,4197.697674805278,12535.81006816096,,,,,,-351961.15879314055,1549091.5095527433
2026-06-06,15.0,35006.0,0.0,42179.366632557954,2299.4366464942823,2873.2400557008277,,,,,,42179.366632557954,1591270.8761853017
2026-06-07,0.0,0.0,0.0,372095.23781747225,3596.696017882529,3434.569048750204,,,,,,372095.23781747225,1963366.1140027735
2026-06-08,947.5530853495153,860807.6191780068,600244.1662555903,431488.44441796694,4250.353719999,11395.577417931338,,,,,,-168755.72183762334,1794610.3921651505
2026-06-09,1009.2177651974798,870709.9570697506,581711.0098008598,419457.5911684205,4451.488849358722,11230.464799015183,,,,,,-162253.41863243934,1632356.9735327112
2026-06-10,999.3415415483008,871277.0807224003,568147.5287572795,410459.153027252,4286.622838721058,11209.544779773665,,,,,,-157688.3757300275,1474668.5978026837
2026-06-11,988.0958368546922,809983.5998783173,578833.1477599487,451232.8365153878,4879.931509706541,12123.804627047297,,,,,,-127600.31124456093,1347068.2865581224
2026-06-12,1092.1860434234038,971900.6368187733,702239.7625598175,347045.2467774188,4208.029703157507,12632.065902469438,,,,,,-355194.5157823987,991873.7707757233
2026-06-13,0.0,0.0,0.0,57425.79005175784,2320.3390092259983,2840.0631988787054,,,,,,57425.79005175784,1049299.5608274816
2026-06-14,0.0,8233.792772687215,0.0,381549.1756782021,3768.1713158306466,3538.0776560000018,,,,,,381549.1756782021,1430848.7365056835
2026-06-15,966.1516534519103,897918.4198649921,623529.9970345447,441452.99186893296,4422.277058766445,11608.153854171964,,,,,,-182077.00516561174,1248771.7313400721
2026-06-16,1015.3302947802699,899529.4291668333,600344.2984684401,427255.0095641978,4538.289988738664,11350.481704974254,,,,,,-173089.28890424228,1075682.44243583
2026-06-17,1007.5201266171534,899701.8888882078,587073.4674914575,416843.28811915196,4386.764184819775,11298.765128764695,,,,,,-170230.17937230552,905452.2630635239
2026-06-18,998.0738748722473,842662.3408539448,600267.7689927826,455000.9680552907,4965.008170837401,12251.609163464509,,,,,,-145266.80093749188,760185.4621260315
2026-06-19,1107.47412188603,1000687.1385330862,721624.6856328492,349435.2942433761,4202.894463916658,12761.001740096393,,,,,,-372189.3913894731,387996.0707365591
2026-06-20,0.0,0.0,0.0,59216.89095523644,2332.4154300691735,2922.3389953099445,,,,,,59216.89095523644,447212.9616917949
2026-06-21,5.770546321132201,30067.539067657723,5958.462150353953,382439.9733484642,3800.652077168911,3677.322322668704,,,,,,376481.51119811024,823694.4728899049
2026-06-22,989.3248738388183,929921.5465108133,642242.093451153,439884.25996407855,4445.72227576318,11829.259430137145,,,,,,-202357.83348707447,621336.639402831
2026-06-23,1030.6124557268927,928418.9357373576,620219.3001999402,422064.3880057306,4551.049328258772,11480.322484085918,,,,,,-198154.91219420964,423181.7272086218
2026-06-24,1023.3569277664709,928802.71889836,608073.8895776134,409556.4573779314,4398.82570176092,11390.583574834634,,,,,,-198517.43219968205,224664.29500894062
2026-06-25,1014.8661970351699,875260.4617998592,623777.1028005261,445956.9516379859,4966.095568238309,12355.391487253595,,,,,,-177820.1511625402,46844.14384640008
2026-06-26,1125.8744788090778,1026533.8143194815,742776.9741525153,338608.89576699986,4175.293013685406,12851.341350038458,,,,,,-404168.07838551543,-357323.93453911506
