date,receipts_lines,receipts_brutto_kg,receipts_netto_kg,receipts_qty,receipts_cbm,receipts_consumables_kg,receipts_equipment_kg,receipts_other_kg,receipts_docs,receipts_aviza,receipts_unloads,receipts_articles,receipts_suppliers,receipts_countries
2022-05-22,651.0,637023.48,0.0,18362.0,783.679,637023.48,0.0,0.0,13.0,13.0,13.0,69.0,1.0,1.0
2022-05-23,572.0,353838.99,0.0,56025.0,386.425,345981.72,5817.18,2040.09,88.0,88.0,41.0,154.0,21.0,12.0
2022-05-24,552.0,329340.44,0.0,41733.0,397.33299999999997,319808.32,2578.71,6953.41,94.0,94.0,56.0,209.0,21.0,10.0
2022-05-25,1082.0,796974.8,0.0,54528.0,1018.87,792911.27,2551.73,1511.8,128.0,128.0,81.0,297.0,31.0,15.0
2022-05-26,1237.0,860941.25,0.0,35005.0,1128.997,855014.77,2203.5,3722.98,111.0,111.0,74.0,305.0,17.0,8.0
2022-05-27,399.0,142873.47,0.0,29023.0,155.696,135435.4,4930.64,2507.43,94.0,93.0,47.0,174.0,13.0,9.0
2022-05-28,486.0,421844.35,0.0,16741.0,552.709,421844.35,0.0,0.0,10.0,10.0,10.0,92.0,1.0,1.0
2022-05-29,817.0,740868.33,0.0,22012.0,968.255,740868.33,0.0,0.0,17.0,17.0,16.0,111.0,1.0,1.0
2022-05-30,590.0,381940.56,0.0,16018.0,468.74,367031.21,12271.220000000001,2638.13,79.0,79.0,33.0,147.0,19.0,9.0
2022-05-31,1104.0,686062.17,0.0,45551.0,889.196,671578.93,9559.84,4923.4,108.0,108.0,62.0,245.0,24.0,12.0
2022-06-01,573.0,157791.12,0.0,44753.0,153.748,146415.46,7926.46,3449.2,104.0,104.0,49.0,258.0,25.0,12.0
2022-06-02,1064.0,563986.85,0.0,63796.0,679.064,537907.46,22025.41,4053.98,116.0,116.0,67.0,334.0,20.0,11.0
2022-06-03,1208.0,832327.25,0.0,322734.0,978.942,803255.38,4562.96,24508.91,117.0,117.0,76.0,277.0,25.0,10.0
2022-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-05,677.0,618866.16,0.0,18824.0,804.865,618866.16,0.0,0.0,13.0,13.0,13.0,88.0,1.0,1.0
2022-06-06,592.0,272540.8,0.0,57449.0,315.456,264330.64,3281.0,4929.16,83.0,82.0,48.0,302.0,23.0,11.0
2022-06-07,765.0,514636.44,0.0,47066.0,651.761,505746.67,3800.56,5089.21,64.0,64.0,42.0,233.0,15.0,11.0
2022-06-08,764.0,517327.21,0.0,23002.0,631.698,510139.18,6975.79,212.24,77.0,77.0,26.0,206.0,12.0,6.0
2022-06-09,1486.0,1073598.15,0.0,44295.0,1336.807,1066060.24,4882.65,2655.2599999999998,117.0,117.0,57.0,346.0,14.0,7.0
2022-06-10,583.0,434382.51,0.0,43151.0,460.153,432918.27,742.51,721.73,31.0,31.0,31.0,191.0,13.0,6.0
2022-06-11,183.0,135513.94,0.0,3514.0,207.003,135513.94,0.0,0.0,4.0,4.0,4.0,53.0,1.0,1.0
2022-06-12,588.0,556039.58,0.0,17751.0,710.615,556039.58,0.0,0.0,11.0,11.0,11.0,93.0,1.0,1.0
2022-06-13,784.0,456084.94,0.0,24666.0,537.235,441654.64,13227.050000000001,1203.25,115.0,114.0,82.0,225.0,21.0,10.0
2022-06-14,818.0,537818.23,0.0,33694.0,702.5799999999999,524710.54,2854.44,10253.25,107.0,106.0,67.0,216.0,23.0,11.0
2022-06-15,1144.0,808324.68,0.0,39995.0,987.18,802268.29,3522.65,2533.74,112.0,112.0,65.0,279.0,24.0,12.0
2022-06-16,824.0,574162.02,0.0,196708.0,679.067,559684.63,1142.16,13335.23,91.0,91.0,91.0,219.0,25.0,12.0
2022-06-17,693.0,465499.33,0.0,29637.0,551.516,464423.43,245.96,829.9399999999999,43.0,42.0,43.0,234.0,11.0,8.0
