date,customer,kmen_total_people,agency_total_people,kmen_inbound_morning,kmen_inbound_afternoon,kmen_loading_morning,kmen_loading_afternoon,kmen_pick_morning,kmen_pick_afternoon,kmen_other_morning,kmen_other_afternoon,agency_inbound_day,agency_inbound_night,agency_loading_day,agency_loading_night,agency_pick_day,agency_pick_night,agency_other_day,agency_other_night,notes,helper_binhits,helper_packing_gw_t,helper_trips_total,helper_containers_count,helper_loaded_orders,helper_loaded_gw_t,helper_inbound_kg,helper_inbound_docs,helper_packing_orders,helper_packing_pallets,helper_activity_people,helper_activity_kmen_people,helper_activity_agency_people,helper_activity_day_people,helper_activity_night_people,helper_esab_share,helper_paid_hours_total,suggested_agency_inbound_day,suggested_agency_inbound_night,suggested_agency_other_day,suggested_agency_other_night,suggested_agency_pick_day,suggested_agency_pick_night,suggested_kmen_inbound_afternoon,suggested_kmen_inbound_morning,suggested_kmen_other_afternoon,suggested_kmen_other_morning,suggested_kmen_pick_afternoon,suggested_kmen_pick_morning,suggested_kmen_loading_morning,suggested_kmen_loading_afternoon,suggested_agency_loading_day,suggested_agency_loading_night,helper_esab_paid_hours,helper_esab_fte_8h
2022-04-01,ESAB,,,,,,,,,,,,,,,,,,,,2271.0,814.52983,58.0,6.0,652.0,562.6684300000001,434543.98,85.0,668.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-04-02,ESAB,,,,,,,,,,,,,,,,,,,,288.0,98.75117,,,,,98785.71,2.0,0.0,0.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-04-04,ESAB,,,,,,,,,,,,,,,,,,,,2146.0,1023.49686,64.0,9.0,625.0,1049.49051,660404.36,93.0,606.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-04-05,ESAB,,,,,,,,,,,,,,,,,,,,2803.0,977.33884,57.0,3.0,708.0,653.08474,129116.26,89.0,706.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-04-06,ESAB,,,,,,,,,,,,,,,,,,,,2457.0,779.22513,63.0,6.0,671.0,663.35038,590521.42,74.0,692.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-04-07,ESAB,,,,,,,,,,,,,,,,,,,,2364.0,714.96814,45.0,5.0,539.0,501.7514,933231.57,83.0,532.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-04-08,ESAB,,,,,,,,,,,,,,,,,,,,2448.0,731.54727,71.0,7.0,728.0,679.03576,515472.07,113.0,721.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-04-09,ESAB,,,,,,,,,,,,,,,,,,,,165.0,64.01001,,,,,250051.69,5.0,0.0,0.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-04-11,ESAB,,,,,,,,,,,,,,,,,,,,2222.0,1023.18256,48.0,3.0,696.0,656.77008,671282.38,72.0,702.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-04-12,ESAB,,,,,,,,,,,,,,,,,,,,2387.0,954.83751,54.0,1.0,632.0,698.47363,596965.46,94.0,629.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-04-13,ESAB,,,,,,,,,,,,,,,,,,,,2507.0,933.18038,51.0,1.0,591.0,591.65015,387163.13,91.0,626.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-04-14,ESAB,,,,,,,,,,,,,,,,,,,,1693.0,702.55938,57.0,7.0,456.0,569.43402,838670.55,121.0,448.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-04-15,ESAB,,,,,,,,,,,,,,,,,,,,1661.0,667.21099,20.0,0.0,238.0,272.67664,546137.12,12.0,332.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-04-16,ESAB,,,,,,,,,,,,,,,,,,,,119.0,85.6798,,,,,0.0,0.0,0.0,0.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-04-19,ESAB,,,,,,,,,,,,,,,,,,,,2400.0,1187.08369,75.0,10.0,745.0,1110.50517,1029527.43,124.0,655.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-04-20,ESAB,,,,,,,,,,,,,,,,,,,,2451.0,1042.37658,72.0,7.0,660.0,851.84552,190719.67,106.0,672.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-04-21,ESAB,,,,,,,,,,,,,,,,,,,,2288.0,916.29536,48.0,3.0,477.0,599.12074,570924.43,103.0,469.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-04-22,ESAB,,,,,,,,,,,,,,,,,,,,2451.0,989.37609,78.0,8.0,799.0,978.2507,461948.62,112.0,787.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-04-23,ESAB,,,,,,,,,,,,,,,,,,,,347.0,192.19338,,,,,427523.67,9.0,0.0,0.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
2022-04-25,ESAB,,,,,,,,,,,,,,,,,,,,2375.0,1035.44218,63.0,7.0,561.0,858.03441,282942.45,119.0,563.0,1.0,,,,,,0.7114913912827506,,,,,,,,,,,,,,,,,,,
