target,group,feature,lag_weeks,corr,abs_corr,n_obs
Binhits,warehouse,wh_inbound_lines,0,0.3598444902641796,0.3598444902641796,217
Binhits,warehouse,wh_inbound_other_gross_kg,0,0.1822856544414377,0.1822856544414377,215
Binhits,warehouse,wh_inbound_qty,0,0.23002063277725368,0.23002063277725368,217
Binhits,warehouse,wh_inbound_unknown_gross_kg,0,0.36974652038233263,0.36974652038233263,215
Binhits,warehouse,wh_net_flow_cbm,1,0.06274975862725277,0.06274975862725277,220
Binhits,warehouse,wh_net_flow_gross_kg,1,0.0809557485904299,0.0809557485904299,220
Binhits,warehouse,wh_observed_days,0,-0.04368726759800709,0.04368726759800709,221
Binhits,warehouse,wh_outbound_cbm,0,0.5865359099443039,0.5865359099443039,221
Binhits,warehouse,wh_outbound_docs,0,0.6991153102664645,0.6991153102664645,221
Binhits,warehouse,wh_outbound_full_picks,4,-0.2183259487828268,0.2183259487828268,217
Binhits,warehouse,wh_outbound_gross_kg,0,0.5842943138301978,0.5842943138301978,221
Binhits,warehouse,wh_outbound_load_units,0,0.6653699771271911,0.6653699771271911,221
Binhits,warehouse,wh_outbound_orders,0,0.6991092253171367,0.6991092253171367,221
Binhits,warehouse,wh_outbound_partial_picks,4,-0.1747133730765977,0.1747133730765977,217
Binhits,warehouse,wh_outbound_picks,4,-0.19079520109229461,0.19079520109229461,217
Binhits,warehouse,wh_outbound_qty,4,-0.16550673113243264,0.16550673113243264,217
Binhits,warehouse,wh_packing_gross_kg,0,0.9043022569104968,0.9043022569104968,221
Binhits,warehouse,wh_packing_lines,0,0.9787047092613415,0.9787047092613415,221
Binhits,warehouse,wh_packing_net_kg,0,0.171515047547697,0.171515047547697,221
Binhits,warehouse,wh_packing_orders,0,0.7168210383642691,0.7168210383642691,221
Binhits,warehouse,wh_packing_pallets,0,0.1655133595500101,0.1655133595500101,221
Binhits,warehouse,wh_packing_volume_dm3,0,0.8991755078518302,0.8991755078518302,221
Binhits,warehouse,wh_wrapping_qty,1,0.43715978609206335,0.43715978609206335,64
Containers,world,brent,3,-0.018673811667482117,0.018673811667482117,219
Containers,world,brent_13w_pct,4,0.10722866816940108,0.10722866816940108,218
Containers,world,brent_4w_pct,4,0.15440754095550607,0.15440754095550607,218
Containers,world,container_market_index,0,0.3574197088995936,0.3574197088995936,222
Containers,world,container_stress_index,3,0.09709223197973967,0.09709223197973967,219
Containers,world,copper,0,0.1293355129926011,0.1293355129926011,222
Containers,world,copper_13w_pct,2,0.2052900486209922,0.2052900486209922,220
Containers,world,copper_4w_pct,4,0.16857764845293385,0.16857764845293385,218
Containers,world,cz_diesel_price,4,-0.06645396457551937,0.06645396457551937,218
Containers,world,cz_diesel_price_13w_pct,0,-0.048824505267337226,0.048824505267337226,222
Containers,world,cz_diesel_price_4w_pct,1,0.09395812242200079,0.09395812242200079,221
Containers,world,de_diesel_price,2,0.03600511042881189,0.03600511042881189,220
Containers,world,de_diesel_price_13w_pct,0,-0.028187876586776708,0.028187876586776708,222
Containers,world,de_diesel_price_4w_pct,2,0.04647548284353574,0.04647548284353574,220
Containers,world,de_ppi_c24_c25,0,0.09441010882231611,0.09441010882231611,222
Containers,world,de_ppi_c24_c25_13w_pct,3,0.04023170861573522,0.04023170861573522,219
Containers,world,de_ppi_c24_c25_4w_pct,0,-0.1521406473612794,0.1521406473612794,222
Containers,world,de_prod_c24_c25,3,-0.11993713930422584,0.11993713930422584,219
Containers,world,de_prod_c24_c25_13w_pct,3,-0.21820625659170445,0.21820625659170445,219
Containers,world,de_prod_c24_c25_4w_pct,4,-0.11912246238397568,0.11912246238397568,218
Containers,world,de_prod_c25,3,-0.13454561329800493,0.13454561329800493,219
Containers,world,de_prod_c25_13w_pct,3,-0.2655308895940042,0.2655308895940042,219
Containers,world,de_prod_c25_4w_pct,4,-0.17491849490908573,0.17491849490908573,218
Containers,world,de_prod_c28,3,-0.07928182626492683,0.07928182626492683,219
Containers,world,de_prod_c28_13w_pct,3,-0.17991554438940166,0.17991554438940166,219
Containers,world,de_prod_c28_4w_pct,3,-0.12816020307541653,0.12816020307541653,219
Containers,world,de_prod_c29,0,0.11225627706641746,0.11225627706641746,222
Containers,world,de_prod_c29_13w_pct,0,0.06679205865549134,0.06679205865549134,222
Containers,world,de_prod_c29_4w_pct,0,0.08936928133655622,0.08936928133655622,222
Containers,world,ea_ppi_mig_ing,0,0.0589307842136316,0.0589307842136316,222
Containers,world,ea_ppi_mig_ing_13w_pct,0,-0.04785800996061607,0.04785800996061607,222
Containers,world,ea_ppi_mig_ing_4w_pct,0,-0.13784194318367324,0.13784194318367324,222
Containers,world,ea_prod_c25,3,-0.09927316122831313,0.09927316122831313,219
Containers,world,ea_prod_c25_13w_pct,3,-0.1729054970541709,0.1729054970541709,219
Containers,world,ea_prod_c25_4w_pct,4,-0.14988940995342312,0.14988940995342312,218
Containers,world,ea_prod_mig_cag,0,0.04130878199415978,0.04130878199415978,222
Containers,world,ea_prod_mig_cag_13w_pct,1,-0.05919220595013799,0.05919220595013799,221
Containers,world,ea_prod_mig_cag_4w_pct,4,0.05465043951273695,0.05465043951273695,218
Containers,world,ea_prod_mig_ing,0,-0.09703407066458569,0.09703407066458569,222
