target,group,feature,lag_weeks,corr,abs_corr,n_obs
Containers,world,eur_diesel_price_13w_pct,0,-0.025514291671605165,0.025514291671605165,222
Containers,world,de_prod_c29,4,0.025478267312571447,0.025478267312571447,218
Containers,world,rwi_total_trend_4w_pct,3,0.02477825624823718,0.02477825624823718,219
Containers,internal,loaded_workday_in_month,1,0.024503932055143906,0.024503932055143906,221
Containers,world,ea_prod_mig_cag,3,0.024022009690926605,0.024022009690926605,219
Containers,warehouse,wh_outbound_qty,1,0.023999359403195267,0.023999359403195267,220
Containers,warehouse,wh_packing_lines,4,0.02387190849824057,0.02387190849824057,217
Containers,world,rwi_north_trend_4w_pct,4,-0.023797804197925876,0.023797804197925876,218
Containers,warehouse,wh_net_flow_gross_kg,2,0.023720690932538296,0.023720690932538296,219
Containers,world,de_prod_c29_13w_pct,2,0.023249981399181146,0.023249981399181146,220
Containers,internal,loaded_trips_export,3,0.023138826037965986,0.023138826037965986,219
Containers,world,vix_4w_pct,2,0.023127687962433443,0.023127687962433443,220
Containers,world,vix,2,0.022998530189972194,0.022998530189972194,220
Containers,world,ea_ppi_mig_ing,2,0.022948448452080113,0.022948448452080113,220
Containers,world,rwi_total_original_4w_pct,1,-0.022946507412760633,0.022946507412760633,221
Containers,world,ea_prod_mig_cag_13w_pct,0,-0.022475512647909205,0.022475512647909205,222
Containers,warehouse,wh_outbound_partial_picks,0,0.022175249454999862,0.022175249454999862,221
Containers,world,de_ppi_c24_c25_13w_pct,4,0.02212483113118805,0.02212483113118805,218
Containers,world,ea_ppi_mig_ing_13w_pct,3,0.02207193884775687,0.02207193884775687,219
Containers,world,rwi_north_adjusted_4w_pct,0,-0.021997807915428318,0.021997807915428318,222
Containers,world,ea_prod_mig_ing_13w_pct,4,0.02192380972958809,0.02192380972958809,218
Containers,world,gscpi_pub_safe,3,-0.021771703985914465,0.021771703985914465,219
Containers,world,vix_4w_pct,0,0.02115633825473197,0.02115633825473197,222
Containers,world,eu_diesel_price_4w_pct,4,-0.021106961039527656,0.021106961039527656,218
Containers,internal,loaded_bridge_day,4,-0.02097105552757106,0.02097105552757106,218
Containers,internal,loaded_days_to_month_end,1,0.020903340655315586,0.020903340655315586,221
Containers,warehouse,wh_inbound_articles,0,0.0207867393314921,0.0207867393314921,217
Containers,world,ea_ppi_mig_ing_13w_pct,1,-0.0204584955747049,0.0204584955747049,221
Containers,world,rwi_total_adjusted_4w_pct,3,0.02036327578185127,0.02036327578185127,219
Containers,warehouse,wh_inbound_avizo,0,0.019932670594191428,0.019932670594191428,217
Containers,world,rwi_north_trend,3,-0.019882857488181156,0.019882857488181156,219
Containers,warehouse,wh_inbound_docs,0,0.019145924757284452,0.019145924757284452,217
Containers,world,cz_diesel_price_13w_pct,2,-0.019138406154916913,0.019138406154916913,220
Containers,internal,packed_number_of_workdays_in_week,4,-0.01900152713716792,0.01900152713716792,218
Containers,world,cz_diesel_price,2,-0.018807582585731984,0.018807582585731984,220
Containers,world,brent,3,-0.018673811667482117,0.018673811667482117,219
Containers,world,cz_diesel_price_13w_pct,1,-0.018604244762807934,0.018604244762807934,221
Containers,world,cz_diesel_price_4w_pct,4,-0.01848017356752481,0.01848017356752481,218
Containers,world,rwi_north_trend_13w_pct,4,0.018463946971055946,0.018463946971055946,218
Containers,world,rwi_total_original,0,-0.018397808246501404,0.018397808246501404,222
Containers,internal,packed_days_to_month_end,1,-0.01838058344023323,0.01838058344023323,221
Containers,world,ea_ppi_mig_ing,3,0.018293872969035247,0.018293872969035247,219
Containers,world,rwi_north_trend_13w_pct,2,-0.018235361259403303,0.018235361259403303,220
Containers,internal,loaded_is_business_day,3,0.017842838351734846,0.017842838351734846,219
Containers,world,ea_prod_mig_cag_13w_pct,4,-0.017687136764143307,0.017687136764143307,218
Containers,world,esab_close_4w_pct,1,-0.017357787788916636,0.017357787788916636,221
Containers,world,de_ppi_c24_c25_13w_pct,2,0.01730292049092267,0.01730292049092267,220
Containers,world,eu_diesel_price_13w_pct,2,-0.017285204082970816,0.017285204082970816,220
Containers,warehouse,wh_outbound_full_picks,3,-0.017058693958962288,0.017058693958962288,218
Containers,world,rwi_north_adjusted,4,-0.016855257114927302,0.016855257114927302,218
Containers,warehouse,wh_outbound_full_picks,1,0.016629108207283125,0.016629108207283125,220
Containers,world,ea_prod_mig_cag_13w_pct,3,-0.016413724770709782,0.016413724770709782,219
Containers,world,brent,2,-0.01626387945236831,0.01626387945236831,220
Containers,world,brent,0,0.015702892179092817,0.015702892179092817,222
Containers,internal,packed_observed_days,4,0.015608699055388767,0.015608699055388767,218
Containers,world,de_ppi_c24_c25_4w_pct,4,0.015387199318142399,0.015387199318142399,218
Containers,world,eu_diesel_price_13w_pct,1,-0.015357417706498604,0.015357417706498604,221
Containers,world,gscpi_13w_pct,4,0.015293475643347784,0.015293475643347784,218
Containers,warehouse,wh_outbound_docs,4,-0.014937423336493422,0.014937423336493422,217
Containers,warehouse,wh_outbound_orders,4,-0.014931132992997795,0.014931132992997795,217
Containers,world,ea_prod_mig_ing_13w_pct,3,0.014694152860191543,0.014694152860191543,219
Containers,world,ea_ppi_mig_ing_13w_pct,4,0.01467371422378589,0.01467371422378589,218
Containers,world,export_risk_index,3,0.014584042286584031,0.014584042286584031,219
Containers,world,rwi_total_trend_13w_pct,1,0.014564094840654884,0.014564094840654884,221
Containers,world,rwi_north_trend_4w_pct,3,-0.014554599510742264,0.014554599510742264,219
Containers,world,gscpi_pub_safe_4w_delta,1,0.014335586855543236,0.014335586855543236,221
Containers,world,gscpi_4w_pct,2,-0.014283197417895152,0.014283197417895152,220
Containers,warehouse,wh_inbound_qty,3,-0.01421794686282394,0.01421794686282394,217
Containers,world,rwi_total_original,3,-0.014195146595632058,0.014195146595632058,219
Containers,world,de_diesel_price_4w_pct,4,0.014177852812450285,0.014177852812450285,218
Containers,world,rwi_north_adjusted_13w_pct,2,-0.013957136837304875,0.013957136837304875,220
Containers,world,de_diesel_price,4,-0.013732981543802116,0.013732981543802116,218
Containers,world,ea_prod_mig_cag,2,0.013657582003281345,0.013657582003281345,220
Containers,world,vix_13w_pct,4,0.013447068211103709,0.013447068211103709,218
Containers,internal,loaded_observed_days,4,-0.013291182124998219,0.013291182124998219,218
Containers,world,cz_diesel_price,0,-0.013257500634835292,0.013257500634835292,222
Containers,world,brent_4w_pct,0,-0.013227845635628828,0.013227845635628828,222
Containers,world,cz_diesel_price_13w_pct,3,-0.01295393128169971,0.01295393128169971,219
Containers,warehouse,wh_inbound_articles,3,0.012946074643253981,0.012946074643253981,217
Containers,world,eur_diesel_price_4w_pct,4,-0.012854909388933166,0.012854909388933166,218
Containers,world,de_diesel_price,3,0.012769830559833512,0.012769830559833512,219
Containers,warehouse,wh_packing_orders,4,-0.012694653684363332,0.012694653684363332,217
Containers,world,gscpi_pub_safe,4,-0.012525126825232687,0.012525126825232687,218
Containers,world,eur_diesel_price_13w_pct,2,-0.012284018998993982,0.012284018998993982,220
Containers,world,export_risk_index,1,-0.012241056153362755,0.012241056153362755,221
Containers,world,rwi_total_trend_13w_pct,4,-0.011921827984311946,0.011921827984311946,218
Containers,warehouse,wh_outbound_qty,3,-0.011888677045484174,0.011888677045484174,218
Containers,world,de_diesel_price_13w_pct,1,-0.011821995274410291,0.011821995274410291,221
Containers,world,eu_gas_4w_pct,0,-0.011274761277432765,0.011274761277432765,222
Containers,world,de_diesel_price_13w_pct,2,-0.011205893415715153,0.011205893415715153,220
Containers,warehouse,wh_inbound_gross_kg,0,0.011186711039940343,0.011186711039940343,217
Containers,world,de_prod_c29_4w_pct,3,0.010785233784691374,0.010785233784691374,219
Containers,world,eur_diesel_price_13w_pct,3,0.010691298798778273,0.010691298798778273,219
Containers,world,rwi_north_adjusted_13w_pct,3,0.010508803659344272,0.010508803659344272,219
Containers,internal,packed_bridge_day,3,-0.010457208541510681,0.010457208541510681,219
Containers,warehouse,wh_outbound_picks,3,-0.010374308919214646,0.010374308919214646,218
Containers,world,gscpi,4,-0.01029128221493278,0.01029128221493278,218
Containers,world,cz_diesel_price,1,-0.0102153330711342,0.0102153330711342,221
Containers,world,rwi_north_original,0,-0.009792658308240025,0.009792658308240025,222
Containers,warehouse,wh_outbound_full_picks,2,-0.009225160882894556,0.009225160882894556,219
Containers,world,ea_prod_mig_cag_4w_pct,0,0.009164134799159855,0.009164134799159855,222
Containers,world,ea_ppi_mig_ing_4w_pct,4,0.009034708841779983,0.009034708841779983,218
Containers,world,de_prod_c28_4w_pct,0,0.008930501406528688,0.008930501406528688,222
Containers,world,rwi_north_trend,4,-0.00886778830630383,0.00886778830630383,218
Containers,world,rwi_north_original_4w_pct,3,-0.0085125937731052,0.0085125937731052,219
Containers,world,de_diesel_price_13w_pct,4,0.008480345488351523,0.008480345488351523,218
Containers,world,cz_diesel_price_13w_pct,4,-0.007807962219580227,0.007807962219580227,218
Containers,world,ea_prod_mig_cag_4w_pct,2,0.007766446081362868,0.007766446081362868,220
Containers,world,rwi_total_original_13w_pct,1,0.007538974708597278,0.007538974708597278,221
Containers,internal,warehouse_pressure_index,4,0.007420130182696476,0.007420130182696476,218
Containers,world,gscpi_pub_safe_4w_delta,0,-0.0073092576223601664,0.0073092576223601664,222
Containers,world,vix,4,0.007225417614679259,0.007225417614679259,218
Containers,world,eur_diesel_price_13w_pct,1,-0.006878769330995358,0.006878769330995358,221
Containers,world,rwi_total_trend_13w_pct,2,0.006843454813630278,0.006843454813630278,220
Containers,world,eu_diesel_price_13w_pct,4,0.0068423856110311565,0.0068423856110311565,218
Containers,warehouse,wh_outbound_partial_picks,3,-0.006802669963804767,0.006802669963804767,218
Containers,internal,loaded_is_month_end,2,0.0063622788726002575,0.0063622788726002575,220
Containers,world,eur_diesel_price_13w_pct,4,0.006305497571941002,0.006305497571941002,218
Containers,world,de_diesel_price_4w_pct,0,0.006260901925973648,0.006260901925973648,222
Containers,world,gscpi_4w_pct,0,-0.00619382203193231,0.00619382203193231,222
Containers,world,brent,4,0.005938633798763161,0.005938633798763161,218
Containers,world,local_operability_index,4,-0.0057372039794616695,0.0057372039794616695,218
Containers,world,geo_event_index,0,-0.00567037076429854,0.00567037076429854,222
Containers,world,rwi_north_trend_13w_pct,3,0.005503632055106883,0.005503632055106883,219
Containers,internal,loaded_number_of_workdays_in_week,3,-0.00541052381593822,0.00541052381593822,219
Containers,world,gscpi_4w_delta,4,0.0051881605476421485,0.0051881605476421485,218
Containers,world,de_prod_c29_13w_pct,3,-0.005151491416639747,0.005151491416639747,219
Containers,world,de_prod_c24_c25_4w_pct,1,-0.005131064585789019,0.005131064585789019,221
Containers,world,ea_ppi_mig_ing,4,0.005010706427126013,0.005010706427126013,218
Containers,world,cz_diesel_price_4w_pct,3,0.004900992731180217,0.004900992731180217,219
Containers,world,eu_diesel_price_13w_pct,3,0.0047464445284469475,0.0047464445284469475,219
Containers,world,rwi_total_original,4,0.004160742751731277,0.004160742751731277,218
Containers,internal,loaded_orders_per_trip,4,0.003990000461333369,0.003990000461333369,218
Containers,world,ea_ppi_mig_ing_4w_pct,3,-0.003794764208307592,0.003794764208307592,219
Containers,warehouse,wh_net_flow_gross_kg,1,-0.0037142100223057344,0.0037142100223057344,220
Containers,world,ea_ppi_mig_ing_13w_pct,2,-0.003601053168753689,0.003601053168753689,220
Containers,internal,loaded_orders_nunique,4,0.00360083173429633,0.00360083173429633,218
Containers,world,rwi_total_trend_13w_pct,0,-0.0034106522718790407,0.0034106522718790407,222
Containers,world,ea_prod_mig_cag,1,-0.0031643998253724982,0.0031643998253724982,221
Containers,world,gscpi_4w_pct,1,0.0030751885838927336,0.0030751885838927336,221
Containers,world,de_ppi_c24_c25_13w_pct,1,-0.0029925603241777263,0.0029925603241777263,221
Containers,world,vix,0,0.002695111850717213,0.002695111850717213,222
Containers,world,rwi_total_trend_13w_pct,3,0.002651519252744669,0.002651519252744669,219
Containers,internal,loaded_number_of_workdays_in_month,3,-0.0025151998065718177,0.0025151998065718177,219
Containers,world,ea_prod_mig_ing_4w_pct,3,-0.0023602424844199076,0.0023602424844199076,219
Containers,internal,packed_cartons_count,4,-0.0023347507200280637,0.0023347507200280637,218
Containers,world,rwi_total_original,2,-0.002332937213772036,0.002332937213772036,220
Containers,world,welding_input_price_index,0,0.0020797911978965304,0.0020797911978965304,222
Containers,world,rwi_total_original_4w_pct,3,-0.0020631755707344627,0.0020631755707344627,219
Containers,world,rwi_total_trend_4w_pct,4,0.001994261009583663,0.001994261009583663,218
Containers,world,de_prod_c29,3,-0.0018869835905070632,0.0018869835905070632,219
Containers,world,brent,1,-0.0018558953175708479,0.0018558953175708479,221
Containers,warehouse,wh_net_flow_cbm,3,-0.0017998702460343824,0.0017998702460343824,218
Containers,warehouse,wh_inbound_cbm,0,-0.0017393671816561375,0.0017393671816561375,217
Containers,world,de_ppi_c24_c25_4w_pct,3,0.001616488023232371,0.001616488023232371,219
Containers,world,de_diesel_price_13w_pct,3,0.0014505086272751128,0.0014505086272751128,219
Containers,warehouse,wh_inbound_consumables_gross_kg,4,-0.0013448359809386007,0.0013448359809386007,215
Containers,world,eur_diesel_price,3,0.0013065547473502881,0.0013065547473502881,219
Containers,warehouse,wh_net_flow_gross_kg,3,0.0011308939372332992,0.0011308939372332992,218
Containers,world,eu_diesel_price,3,-0.0009725842104979393,0.0009725842104979393,219
Containers,world,eu_gas_4w_pct,3,0.00019762945453665333,0.00019762945453665333,219
Trips total,internal,loaded_trips_europe,0,0.9511509787793627,0.9511509787793627,222
Trips total,warehouse,wh_outbound_load_units,0,0.942985174458539,0.942985174458539,221
Trips total,internal,loaded_gross_tons,0,0.925611508282591,0.925611508282591,222
Trips total,warehouse,wh_outbound_gross_kg,0,0.9147203627620936,0.9147203627620936,221
Trips total,warehouse,wh_outbound_cbm,0,0.9120417472754112,0.9120417472754112,221
Trips total,internal,warehouse_pressure_index,0,0.9020685209424727,0.9020685209424727,222
Trips total,internal,loaded_orders_nunique,0,0.894732441307087,0.894732441307087,222
Trips total,warehouse,wh_outbound_docs,0,0.8822711594279563,0.8822711594279563,221
Trips total,warehouse,wh_outbound_orders,0,0.8822497150167076,0.8822497150167076,221
Trips total,warehouse,wh_packing_orders,0,0.8791247553514382,0.8791247553514382,221
Trips total,internal,packed_cartons_count,0,0.7672028680899161,0.7672028680899161,222
Trips total,warehouse,wh_packing_gross_kg,0,0.7487389344184778,0.7487389344184778,221
Trips total,internal,packed_gross_tons,0,0.7340739238190284,0.7340739238190284,222
Trips total,internal,loaded_trips_export,0,0.7142865269531739,0.7142865269531739,222
Trips total,internal,loaded_observed_days,0,0.6985162532207547,0.6985162532207547,222
Trips total,warehouse,wh_packing_lines,0,0.6887559426123694,0.6887559426123694,221
Trips total,warehouse,wh_inbound_consumables_gross_kg,0,0.6808950849030107,0.6808950849030107,215
