date,iso_year,iso_week,iso_weekday,binhits,gross_tons,cartons_count,pallets_count,vydejky_unique,packed_day_binhits,packed_night_binhits,trips_total,containers_count,loaded_orders_nunique,loaded_gross_tons,inbound_gross_kg,inbound_docs,packing_orders,packing_pallets,att_headcount,att_kmen_headcount,att_agency_headcount,day_att_headcount,night_att_headcount,att_kmen_early_headcount,att_kmen_late_headcount,att_agency_day_headcount,att_agency_night_headcount,helper_paid_hours_total,helper_esab_share,helper_esab_paid_hours,helper_esab_fte_8h,manual_any_filled,selected_total_people,selected_kmen,selected_agency,selected_kmen_early,selected_kmen_late,selected_agency_day,selected_agency_night,weekday,paid_hours_total,esab_share,att_hours,esab_fte_8h,required_reference_fte_8h
2022-02-27,2022,8,7,347,254.64026,9,275,0,0.0,347.0,,,,,560567.25,16.0,0.0,0.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Sunday,,0.7114913912827506,,,
2022-02-28,2022,9,1,2551,895.82828,507,1168,0,1341.0,1210.0,65.0,12.0,709.0,819.89822,234546.01,109.0,710.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Monday,,0.7114913912827506,,,
2022-03-01,2022,9,2,2518,947.98247,487,1345,0,1641.0,877.0,66.0,6.0,737.0,790.60337,943229.42,141.0,716.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Tuesday,,0.7114913912827506,,,
2022-03-02,2022,9,3,2938,1101.51715,486,1585,0,1774.0,1164.0,62.0,5.0,631.0,905.63353,700914.06,97.0,632.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Wednesday,,0.7114913912827506,,,
2022-03-03,2022,9,4,2469,1010.75007,450,1372,0,1456.0,1013.0,53.0,4.0,547.0,692.93094,591900.49,95.0,543.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Thursday,,0.7114913912827506,,,
2022-03-04,2022,9,5,2582,1005.89168,542,1382,0,1585.0,997.0,81.0,5.0,846.0,917.83603,410393.89,108.0,863.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Friday,,0.7114913912827506,,,
2022-03-05,2022,9,6,455,274.28515,16,407,0,0.0,455.0,,,,,206254.62,4.0,0.0,0.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Saturday,,0.7114913912827506,,,
2022-03-07,2022,10,1,2800,1165.38244,438,1456,0,1741.0,1059.0,51.0,1.0,722.0,802.1955899999999,674934.05,99.0,727.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Monday,,0.7114913912827506,,,
2022-03-08,2022,10,2,2924,1204.82209,518,1666,0,1743.0,1181.0,59.0,1.0,756.0,796.1092199999999,551684.12,129.0,742.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Tuesday,,0.7114913912827506,,,
2022-03-09,2022,10,3,2815,1049.46314,494,1475,0,1704.0,1111.0,55.0,4.0,674.0,700.62928,614772.52,115.0,697.0,1.0,,,,,,,,,,,0.7114913912827506,,,False,,,,,,,,Wednesday,,0.7114913912827506,,,
