date,weekday,forecast_day_binhits,forecast_night_binhits,forecast_binhits,forecast_loaded_orders,forecast_trips_total,forecast_containers_count,forecast_loaded_gross_tons,forecast_inbound_gross_kg,required_fte_8h,required_paid_hours,required_headcount,required_headcount_ceiling,capacity_gap_headcount,required_kmen_early,required_kmen_late,required_agency_day,required_agency_night,required_kmen,required_agency,required_day_shift_workers,required_night_shift_workers,required_productive_workers,required_productive_workers_ceiling,fte_model,fte_profile_source,required_kmen_inbound_morning,required_kmen_inbound_afternoon,required_kmen_loading_morning,required_kmen_loading_afternoon,required_kmen_pick_morning,required_kmen_pick_afternoon,required_kmen_other_morning,required_kmen_other_afternoon,required_agency_inbound_day,required_agency_inbound_night,required_agency_loading_day,required_agency_loading_night,required_agency_pick_day,required_agency_pick_night,required_agency_other_day,required_agency_other_night
2026-05-07,Thursday,1531.9865594060884,720.0290442324427,2252.015603638531,654.907554112789,61.5688338267239,7.134159699976493,702.9526928366975,437403.6605678375,56.40764245600175,451.261139648014,40.0,40,0,8,0,20,12,8,32,28,12,56,57,baseline,manual_or_suggested_history,6,0,0,0,2,0,0,0,1,3,0,0,19,9,0,0
2026-05-08,Friday,1441.8659151190354,607.7737828950264,2049.6396980140617,625.3357373029556,65.80507740635638,7.744896870620263,816.4706781294046,335554.73048784694,56.583286301189396,452.66629040951517,40.0,40,0,6,0,20,14,6,34,26,14,57,57,baseline,manual_or_suggested_history,4,0,0,0,2,0,0,0,0,3,0,0,20,11,0,0
2026-05-09,Saturday,0.0,105.69853883022054,105.69853883022054,647.7211847431967,63.677721509388356,7.685190206063901,773.0640420281577,50072.994677622126,52.340290245920144,418.72232196736115,35.0,35,33,0,0,0,35,0,35,0,35,52,53,baseline,manual_or_suggested_history,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
2026-05-10,Sunday,0.0,0.0,0.0,662.184706185059,65.27158942566341,7.192684828986746,786.741200446355,375465.01033274276,53.18338350665901,425.4670680532721,36.0,36,23,0,2,0,34,2,34,0,36,53,54,baseline,manual_or_suggested_history,0,2,0,0,0,0,0,0,0,11,0,0,0,23,0,0
2026-05-11,Monday,1464.7932578114599,558.2795356006893,2023.0727934121492,638.0772954887547,58.92694692328413,7.518124946034384,756.4818633738571,436424.495743493,56.60754166822317,452.86033334578536,41.0,41,0,9,0,19,13,9,32,28,13,57,57,baseline,manual_or_suggested_history,6,0,0,0,3,0,0,0,1,1,0,0,18,12,0,0
2026-05-12,Tuesday,1627.9340092458428,760.3399351766697,2388.2739444225126,664.858276092034,57.99543044536796,7.47290807005598,730.3125264778803,421848.9715457358,54.06316870357474,432.5053496285979,39.0,39,0,9,0,20,10,9,30,29,10,54,55,baseline,manual_or_suggested_history,6,0,0,0,3,0,0,0,2,1,0,0,18,9,0,0
2026-05-13,Wednesday,1653.078446596748,768.7313118853099,2421.809758482058,643.8787660115161,60.05521551119653,7.110713170045947,722.3372200885283,410428.87070144585,55.36608812127418,442.92870497019345,40.0,40,0,9,0,21,10,9,31,30,10,55,56,baseline,manual_or_suggested_history,6,0,0,0,3,0,0,0,0,1,0,0,21,9,0,0
2026-05-14,Thursday,1568.5144082973798,708.2351021791749,2276.749510476555,652.0383754939849,61.717248696171374,7.158325165509927,720.9401634064664,448074.0932791141,56.01309149082125,448.10473192657,40.0,40,0,8,0,20,12,8,32,28,12,56,57,baseline,manual_or_suggested_history,6,0,0,0,2,0,0,0,1,3,0,0,19,9,0,0
2026-05-15,Friday,1469.4578911977478,605.875302445734,2075.3331936434815,629.0657561823185,66.18117924413752,7.765515991519656,834.8211447854452,340895.5130051341,56.188837100648726,449.5106968051898,39.0,39,0,5,0,22,12,5,34,27,12,56,57,baseline,manual_or_suggested_history,4,0,0,0,1,0,0,0,0,1,0,0,22,11,0,0
2026-05-16,Saturday,0.0,96.82483078580523,96.82483078580523,649.3082571772171,64.13673827370697,7.62688944878372,791.3938020739574,58185.54914024678,53.119009105219035,424.9520728417523,36.0,36,34,1,0,0,35,1,35,1,35,53,54,baseline,manual_or_suggested_history,1,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
